rank,title,author,kepub_book_no,kepub_book_name,kepub_author,kepub_book_url,kepub_fulltext_url,match_score,match_status
1,呐喊,鲁迅,1109,呐喊,鲁迅,https://www.kepub.net/book/1109,https://www.kepub.net/book/1109/10001,105,matched
3,骆驼祥子,老舍,1107,骆驼祥子,老舍,https://www.kepub.net/book/1107,https://www.kepub.net/book/1107/10001,105,matched
9,呼兰河传,萧红,11002,呼兰河传,萧红,https://www.kepub.net/book/11002,https://www.kepub.net/book/11002/10002,105,matched
10,老残游记,刘鹗,50002,老残游记,刘鹗,https://www.kepub.net/book/50002,,105,matched
12,彷徨,鲁迅,1098,彷徨,鲁迅,https://www.kepub.net/book/1098,https://www.kepub.net/book/1098/10001,105,matched
13,官场现形记,李伯元,1097,官场现形记,李伯元,https://www.kepub.net/book/1097,,105,matched
16,沉沦,郁达夫,10005,沉沦,郁达夫,https://www.kepub.net/book/10005,,105,matched
17,死水微澜,李劼人,1093,死水微澜,李劼人,https://www.kepub.net/book/1093,https://www.kepub.net/book/1093/10001,105,matched
19,小二黑结婚,赵树理,1091,小二黑结婚,赵树理,https://www.kepub.net/book/1091,,105,matched
25,四世同堂,老舍,1084,四世同堂,老舍,https://www.kepub.net/book/1084,https://www.kepub.net/book/1084/10001,105,matched
27,啼笑因缘,张恨水,1080,啼笑因缘,张恨水,https://www.kepub.net/book/1080,https://www.kepub.net/book/1080/10001,105,matched
32,孽海花,曾朴,1068,孽海花,曾朴,https://www.kepub.net/book/1068,,105,matched
33,惹事,赖和,1067,惹事,赖和,https://www.kepub.net/book/1067,,105,matched
37,原乡人,锺理和,1063,原乡人,钟理和,https://www.kepub.net/book/1063,,105,matched
44,公墓,穆时英,10004,公墓,穆时英,https://www.kepub.net/book/10004,,105,matched
55,蜀山剑侠传,还珠楼主,1042,蜀山剑侠传,还珠楼主,https://www.kepub.net/book/1042,,105,matched
59,玉梨魂,徐枕亚,1038,玉梨魂,徐枕亚,https://www.kepub.net/book/1038,,105,matched
63,春桃,许地山,1034,春桃,许地山,https://www.kepub.net/book/1034,,105,matched
66,二月,柔石,1031,二月,柔石,https://www.kepub.net/book/1031,https://www.kepub.net/book/1031/10001,105,matched
85,窗外,琼瑶,1110,窗外,琼瑶,https://www.kepub.net/book/1110,,105,matched
95,二十年目睹之怪现状,吴趼人,1006,二十年目睹之怪现状,吴趼人,https://www.kepub.net/book/1006,,105,matched
